State,Year,Quarter,Text
Alabama,2020,Q1,"The move empowers the government to lock down cities, as Italy imposes its own regional lockdown and cases rise in Iran. [This briefing has ended. Read the latest updates on the coronavirus epidemic here.]"
Alabama,2020,Q1,"Across the country, it’s mostly business as usual in the justice system. And that’s inviting the spread of the coronavirus. Across the country, only a small number of courts and justice systems appear to have significantly adjusted their procedures to guard against the coronavirus pandemic. And that is putting tens of thousands of people at risk for no good reason."
Alabama,2020,Q1,"The spending package dwarfs what the Trump administration requested to confront the outbreak. WASHINGTON — Racing to confront a growing public health threat, the House resoundingly approved $8.3 billion in emergency aid on Wednesday to combat the novel coronavirus, hours after congressional leaders reached a deal on the funding."
Alabama,2020,Q1,Should you wear a mask? Does airplane travel pose a greater risk? Do hand sanitizers work? Health professionals offer some tips. Wary travelers are donning masks on New York City subways and in San Francisco airports. Panicked consumers are arming themselves with disinfectants. Businesses are suspending operations and airlines are halting flights.
Alabama,2020,Q1,"Some tests distributed by the agency deliver “inconclusive” readings. The C.D.C. will need to ship new ingredients, further delaying results. Some of the coronavirus testing kits sent to state laboratories around the country have flaws and do not work properly, the Centers for Disease Control and Prevention said on Wednesday."
Alabama,2020,Q1,"Thousands of people have been sickened by lung illnesses linked to vaping, most by using THC products. Thousands of people have been sickened by lung illnesses linked to vaping, most by using THC products."
Alabama,2020,Q1,Public health officials say that injecting politics into the growing outbreak could make it harder to fight. 
Alabama,2020,Q1,"Can he win, and if so, can he help elect a Democratic Senate so he can accomplish something? In 1981, as a Washington Post intern prowling for stories, I called the new socialist mayor of Burlington, Vt."
Alabama,2020,Q1,"For weeks, Mississippi’s prisons have been gripped by crisis, including at least a dozen inmate deaths. On Wednesday, the Justice Department responded to the turmoil. For weeks, Mississippi’s prisons have been gripped by crisis. At least a dozen inmates have been slain or killed themselves, and feuding gangs have forced lockdowns. Images and videos taken on smuggled cellphones have highlighted deteriorating conditions, and legislators and activists have asked for federal intervention."
Alabama,2020,Q1,Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far. Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far.
Alabama,2020,Q2,"Richard J. McGuire told the police that Discovery Island, an 11-acre zoological park with aromatic trees and walk-through aviaries that closed in 1999, looked like a “tropical paradise.” It had the makings of an adventure straight from Disney’s “Swiss Family Robinson” — being on an uninhabited island and living off the land."
Alabama,2020,Q2,"In large swaths of the U.S., people have a hard time reaching a hospital that offers the kind of inpatient care needed to treat the coronavirus. In large swaths of the U.S., people have a hard time reaching a hospital that offers the kind of inpatient care needed to treat the coronavirus."
Alabama,2020,Q2,"Inconsistent protocols, limited resources and a patchwork of decision making have led to an undercounting of people with the coronavirus who have died, health experts say. WASHINGTON — A coroner in Indiana wanted to know if the coronavirus had killed a man in early March, but said that her health department denied a test. Paramedics in New York City say that many patients who died at home were never tested for the coronavirus, even if they showed telltale signs of infection."
