State,Year,Quarter,Text
Georgia,2020.0,Q1,"A fourth-generation owner of one of the biggest ranches in Texas, she helped build museums, including the Georgia O’Keeffe Museum in Santa Fe. Anne Burnett Windfohr Marion, a prominent Texas rancher, oil heiress and patron of the arts who helped found the Georgia O’Keeffe Museum in Santa Fe, N.M., died on Feb. 11 in Palm Springs, Calif. She was 81. "
Georgia,2020.0,Q1,"With Louisiana and Georgia delaying their primary votes, we answer six key questions about holding elections in a crisis. And no, a president cannot cancel an election with executive authority. Read an updated article on why President Trump has no power to delay the election."
Georgia,2020.0,Q1,Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far. Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far.
Georgia,2020.0,Q1,"They are among the senators facing criticism for offloading investments before the market tumbled. Here’s a look at the political consequences they might face. Senator Richard M. Burr, Republican of North Carolina, and Senator Kelly Loeffler, Republican of Georgia, have come under fire for selling off stocks collectively worth millions of dollars ahead of the economic downturn that has coincided with the coronavirus pandemic."
Georgia,2020.0,Q1,"The warning was another indication of the Trump administration’s increasingly cautious approach to the coronavirus, and another instance of an apparent gap between the president and health officials. The State Department on Sunday advised Americans against traveling on cruise ships, warning that they presented a higher risk of coronavirus infection and made U.S. citizens vulnerable to possible international travel restrictions, including quarantines."
Georgia,2020.0,Q1,There are ways to prevent a crisis of public health from becoming a crisis of democracy. This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays.
Georgia,2020.0,Q1,"N95 masks are essential for protecting health care workers and controlling the epidemic, but some hospitals have been unable to get new shipments as supplies dwindle. As hospitals around the country prepare for an influx of highly infectious coronavirus cases, their supplies of a crucial type of respirator mask are dwindling fast."
Georgia,2020.0,Q1,"Almost as many people are falling ill as did two years ago, in what was a particularly severe flu season. But this season’s virus is unusual, and it’s too early to tell how dangerous. The United States may be headed into a bad flu season, according to figures recently released by the Centers for Disease Control and Prevention. "
Georgia,2020.0,Q1,"A man in Manatee County tested positive though he had not traveled to countries with an outbreak, creating yet another unexplained case of the virus. MIAMI — A Florida man with no known connections to the global coronavirus outbreak has tested positive for the virus, suggesting the possibility of a wider community outbreak in Florida, the authorities said on Monday."
Georgia,2020.0,Q1,"Americans need leaders who rise to the occasion, not worry about their own pocketbooks. Crisis often brings out the best in a people. As the coronavirus spreads its devastation, countless Americans are stepping up to perform acts of heroism and compassion, both great and small, to aid their neighbors and their nation."
Georgia,2020.0,Q2,"President Trump, concerned about his own outlook in the state, plans to stay on the sideline in a race where he favored a different choice for senator. President Trump’s advisers are increasingly concerned about Senator Kelly Loeffler’s campaign in Georgia, a newly competitive state where the president’s own poll numbers have tightened against former Vice President Joseph R. Biden Jr., according to people briefed on the discussions."
Georgia,2020.0,Q2,"A day after the state’s elections descended into confusion, Mr. Ossoff, a 33-year-old Democrat, emerged as the party’s challenger to the Republican incumbent, Senator David Perdue. ATLANTA — Jon Ossoff, the 33-year-old Georgia Democrat who earned national attention in 2017 with a spirited but unsuccessful congressional race in the Atlanta suburbs, won his party’s nomination in a race for a Senate seat on Wednesday, a day after the state’s elections descended into chaos. "
Georgia,2020.0,Q2,"The order supersedes actions taken by some coastal communities, and it reflects the tensions between state and local officials across the country in responding to the coronavirus. ATLANTA — Gov. Brian Kemp of Georgia signed a shelter-in-place order on Thursday, shutting down restaurant dining rooms, barbershops, bars and gyms across the state. He called it an effort to buy critical time as Georgia braced for a surge in cases of the coronavirus."
Georgia,2020.0,Q2,"Even as some states move to restart their economies, coronavirus hot spots are emerging, including at a state prison in Ohio. ATLANTA — Residents of Georgia will be allowed on Friday to return to the gym and get haircuts, pedicures, massages and tattoos. Next Monday, they can dine again in restaurants and go to the movies."
Georgia,2020.0,Q2,"Officials at the Department of Veterans Affairs have denied that workers across their huge health care system — which serves nine million veterans and has 390,000 employees — have inadequate gear. WASHINGTON — The Department of Veterans Affairs had a problem: Some of its workers appeared to be taking home extra masks and other protective gear, most likely fearing that they might not have enough supplies to do their jobs. So the department decided it would start checking everyone’s bags before they left for the day, and officials drafted a memo to explain the new policy."
Georgia,2020.0,Q2,Here’s what you need to know at the end of the day. (Want to get this briefing by email? Here’s the sign-up.) 
Georgia,2020.0,Q2,Did you follow the headlines this week? Did you follow the headlines this week?
Georgia,2020.0,Q2,"Several mayors and employers have asked residents to ignore the Georgia governor’s declaration that some businesses can resume operation while the coronavirus lingers. ATLANTA — The decision by Gov. Brian Kemp to begin restarting Georgia’s economy drew swift rebukes on Tuesday from mayors, public health experts and some business owners, with skeptics arguing that the plan might amplify another wave of coronavirus outbreaks."
Georgia,2020.0,Q2,State regulators in New York and elsewhere are also trying to stop the marketing of plans they say look like health insurance but offer no guarantees of coverage. A major Christian group is being sued by former customers in at least three states who claim it sold them an alternative to health insurance that misled them about protections against large medical bills.
Georgia,2020.0,Q2,Here’s what you need to know at the end of the day. (Want to get this briefing by email? Here’s the sign-up.) 
Georgia,2020.0,Q3,"The man, Milton Ayimadu, allegedly hoarded 200,000 face masks and sold them for double what he paid, according to the U.S. Attorney’s Office. A Georgia businessman has been charged with hoarding 200,000 face masks that he bought from a foreign country and selling them for twice as much as he paid on his baby clothing website, according to the Department of Justice."
Georgia,2020.0,Q3,"“We must have a new sense of urgency to make this declaration,” Mayor Greg Fischer said. The city has been the focus of protests after the police killing of Breonna Taylor. Officials in Louisville, Ky., where there have been continuing protests over the police killing of Breonna Taylor and where coronavirus cases have begun to rise, said on Wednesday that the city might join a growing list of local governments that have declared racism a public health crisis."
Georgia,2020.0,Q3,"They struck a sober note on Sunday’s news programs, strongly urging the vast majority of people in hard-hit cities and states to wear masks and avoid large gatherings. Two of the Trump administration’s top health officials acknowledged Sunday that the country is facing a very serious situation with the onslaught of rising coronavirus cases in several states, striking a far more sober tone than President Trump at this stage of the pandemic in the United States."
Georgia,2020.0,Q3,"The decision arrived a day before a Trump administration rule narrowing the legal definition of sex discrimination was set to take effect. WASHINGTON — A federal judge on Monday blocked an effort by the Trump administration to erase protections for transgender patients against discrimination by doctors, hospitals and health insurance companies, dealing a blow to the broader legal reasoning it has used to try to roll back transgender rights across the government."
Georgia,2020.0,Q3,California’s governor announced a sweeping rollback of the state’s reopening and Los Angeles and San Diego school districts will be online-only in the fall. Dr. Anthony Fauci returned to the White House. This briefing has ended. Read live coronavirus updates here.
Georgia,2020.0,Q3,"American military officials are trying to contain the spread of the coronavirus in its ranks while tackling logistical problems like relieving troops overseas. WASHINGTON — More than 20,000 American service members have contracted the coronavirus, and the infection rate in the services has tripled over the past six weeks as the United States military has emerged as a potential source of transmission both domestically and abroad, according to military and local public health officials."
Georgia,2020.0,Q3,"As schools in the South and the Midwest reopen this week, officials must decide what steps to take as staff members and students test positive. More than 200 employees have been barred from work in Georgia’s largest school district. A high school in Indiana had to shift to online learning after just two days. And students in Mississippi were forced to quarantine after classmates tested positive for the coronavirus during the first week of classes."
Georgia,2020.0,Q3,"Most universities plan to bring students back to campus. But many of their teachers are concerned about joining them. College students across the country have been warned that campus life will look drastically different in the fall, with temperature checks at academic buildings, masks in half-empty lecture halls and maybe no football games."
Georgia,2020.0,Q3,"Some states and school districts provide detailed data on school outbreaks. Others choose to keep such information under wraps. On the first day of school in Camden County, Ga., local Facebook groups were already buzzing with rumors that a teacher had tested positive for the coronavirus. The next day, a warning went out to school administrators: Keep teachers quiet."
Georgia,2020.0,Q3,Members of Congress and the D.H.S. are investigating claims by a nurse and lawyers that immigrant detainees in Georgia were complaining of unwanted procedures and rough treatment. The Department of Homeland Security is investigating allegations that immigrant women detained at a privately run detention center in Georgia underwent gynecological procedures without fully understanding or consenting to them.
Georgia,2020.0,Q4,"The victory by Ms. McBath, who upset a Republican, Karen Handel, in 2018 and was challenged by her again, underscored the changing demographics and antipathy to President Trump in Atlanta’s suburbs. Representative Lucy McBath, a Democrat who in 2018 narrowly upset the Republican Karen Handel in a Republican stronghold, won re-election early Wednesday in a rematch that underscored the changing demographics — and anti-Trump fervor — in Atlanta’s suburbs."
Georgia,2020.0,Q4,"Let’s look at where the candidates stand on pre-existing conditions, Medicare, Medicaid and more. Let’s look at where the candidates stand on pre-existing conditions, Medicare, Medicaid and more."
Georgia,2020.0,Q4,"The special elections were devised by white lawmakers to dilute the power of Black voters. But those involved in earlier contests say demographic change and Democratic energy could allow the party to finally beat the odds. WASHINGTON — A first-term senator in Georgia narrowly bested his opponent, outrunning his party’s standard-bearer only to face voters again a few weeks later under a quirky system that briefly made the state the center of the political universe after a hard-fought presidential election."
Georgia,2020.0,Q4,"Control of the Senate could hinge on Black voters — and on an ambitious effort to get them to the polls in the largest numbers ever for the Jan. 5 runoff elections. To hear more audio stories from publishers like The New York Times, download Audm for iPhone or Android."
Georgia,2020.0,Q4,"Maybe so. Let’s look at the rules and what college football’s most famous coach said. Nick Saban, the feared and renowned football coach at Alabama, said he tested positive for coronavirus on Wednesday."
Georgia,2020.0,Q4,"The Rev. Dr. Raphael Warnock, a Democrat, was leading Senator Kelly Loeffler after a race in which she was bloodied by a fellow Republican. The race will be decided in a January runoff. The Rev. Dr. Raphael G. Warnock, a Democrat, emerged as the leader Tuesday over Senator Kelly Loeffler, a Republican, in a special election to fill a Georgia Senate seat that will now be decided in a January runoff."
