State,Quarter,Text
Georgia,Q1,"Republicans in Congress are seeking to capitalize on discontent about the federal coronavirus response while the party’s presidential contenders are vying to be the biggest foe of restrictions. WASHINGTON — Republicans on Tuesday pushed legislation through the House that would repeal vaccine mandates and declare the pandemic over, blowing past Democratic opposition in a broader drive to use the federal response to the coronavirus spread against President Biden and his party, stoking a culture war over a major public health challenge."
Georgia,Q1,"The House debated for hours on Tuesday before voting for measures that would end a public health emergency and a vaccine mandate for some health care workers. WASHINGTON — As the House debated for hours over pandemic measures, Republican lawmakers on Tuesday repeatedly misled about the efficacy of vaccines, the rationale behind vaccine mandates and their effects."
Georgia,Q1,Rape victims and patients with complicated pregnancies are confronting the limits of state abortion laws. Rape victims and patients with complicated pregnancies are confronting the limits of state abortion laws.
Georgia,Q1,"The group discusses identity, stereotypes, discrimination and more. The group discusses identity, stereotypes, discrimination and more."
Georgia,Q1,"Khvicha Kvaratskhelia has become a star in nine months at Napoli. With his transcendent talent, things may only get better. NAPLES, Italy — European soccer’s breakout star looks briefly uneasy. It is not the setting. That is just about perfect: He is leaning on a wrought-iron railing on the terrace of the Grand Hotel Parker’s, all cut-glass, belle epoque elegance, the city of Naples spilling out to the sea beneath him. At his back lurks Mount Vesuvius, wreathed in clouds."
Georgia,Q1,Here’s what you need to know at the end of the day. (Want to get this newsletter in your inbox? Here’s the sign-up.)
Georgia,Q1,"Twenty-five people were charged this week in connection with the scheme, which involved the sale of fake transcripts and diplomas issued by three Florida schools, prosecutors said. More than two dozen people have been charged in connection with a scheme in which fake nursing diplomas were sold to buyers who then used the credentials to obtain nursing licenses and jobs in health care settings across the country, federal prosecutors said."
Georgia,Q1,A lawsuit is challenging the F.D.A.’s approval of medication abortion. Data shows the consequences could be far-reaching. A lawsuit is challenging the F.D.A.’s approval of medication abortion. Data shows the consequences could be far-reaching.
Georgia,Q1,"Wild birds passed the virus to seals in New England at least twice last summer, a new study suggests. Last summer, the highly contagious strain of avian influenza that had been spreading through North American birds made its way into marine mammals, causing a spike in seal strandings along the coast of Maine. In June and July, more than 150 dead or ailing seals washed ashore."
Georgia,Q1,The battle over South River Forest has turned violent. What could make a person die for trees?
