Year,Quarter,Geography,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth,Real_GDP,Total_Population,Total_Male_Population%,Total_Female_Population%,Population_Under5%,Population5_17%,Population18_24%,Population25_34%,Population35_44%,Population45_54%,Population55_64%,Population65_74%,Population_Over75%,Less_Than_High_School_Diploma%,High_School_Graduate%,Some_College_or_Associate Degree%,Bachelor_Degree%,Graduate_Or_Professional_Degree%,UnemploymentRate%,Private_Health_Insurance%,Public_Health_Insurance_Coverage%,No_Health_Insurance_Coverage%,Povery_Rate%,White,Black,Hispanic,Asian,American Indian or Alaska Native,Multiple Races
2020,1,Alabama,393549.0,508208.0,21796.0,0.0554,222288.8,4903185,48.3,51.7,5.8,16.3,9.3,13.0,12.4,12.4,13.3,10.3,7.1,12.9,30.9,29.8,16.3,10.0,4.9,66.9,37.3,9.7,15.5,0.654,0.265,0.044,0.014,0.004,0.019
2020,1,Alaska,54569.0,88339.333333,4139.0,0.0758,50332.8,731545,52.0,48.0,7.0,17.6,9.3,16.1,12.7,12.0,13.0,8.4,4.0,6.4,28.7,34.6,18.5,11.7,5.8,64.8,35.2,12.2,10.1,0.6,0.022,0.07,0.06,0.151,0.083
2020,1,Arizona,508632.0,678892.0,31362.0,0.0617,365027.7,7278717,49.7,50.3,5.9,16.7,9.5,13.8,12.3,11.7,12.1,10.3,7.6,12.4,23.7,33.7,18.8,11.3,5.1,62.7,38.4,11.3,13.5,0.542,0.043,0.318,0.033,0.039,0.024
2020,1,Arkansas,308190.0,409201.0,14549.0,0.0472,128340.9,3017804,48.9,51.1,6.1,17.1,9.4,12.8,12.5,12.0,12.8,10.1,7.3,12.5,34.9,29.3,15.1,8.3,4.8,59.3,44.0,9.1,16.2,0.721,0.152,0.078,0.016,0.006,0.024
2020,1,California,2119057.0,2918656.3333,193877.0,0.0915,2933320.2,39512223,49.7,50.3,6.0,16.5,9.3,15.3,13.4,12.6,12.1,8.6,6.2,16.0,20.6,28.4,21.9,13.1,5.1,63.9,37.8,7.7,11.8,0.364,0.053,0.395,0.147,0.004,0.033
2020,1,Colorado,308676.0,442961.33333,25761.0,0.0835,380188.8,5758736,50.4,49.6,5.7,16.1,9.2,15.8,14.0,12.2,12.4,9.1,5.6,7.6,21.0,28.7,26.6,16.0,3.7,70.9,31.5,8.0,9.3,0.678,0.038,0.218,0.032,0.005,0.028
2020,1,Connecticut,248675.0,316595.33333,21566.0,0.0867,260765.2,3565287,48.9,51.1,5.1,15.3,9.6,12.5,12.0,13.5,14.5,9.9,7.8,9.3,26.8,24.1,22.0,17.8,5.3,69.4,37.1,5.9,10.0,0.657,0.1,0.169,0.046,0.002,0.026
2020,1,Delaware,126409.0,158352.66667,10050.0,0.0795,72506.8,973764,48.3,51.7,5.6,15.4,8.5,13.2,11.7,12.2,14.1,11.6,7.9,9.7,30.2,26.9,19.5,13.7,4.6,70.9,39.5,6.6,11.3,0.614,0.218,0.097,0.039,0.003,0.028
2020,1,District of Columbia,42359.0,58159.333333,2899.0,0.0684,137640.8,705749,47.4,52.6,6.4,11.7,10.3,23.3,15.4,10.6,9.9,7.2,5.2,8.1,15.8,16.4,25.7,34.0,6.3,72.6,34.2,3.5,13.5,0.367,0.45,0.112,0.037,0.003,0.031
2020,1,Florida,1702206.0,2120450.6667,94393.0,0.0555,1069758.8,21477737,48.9,51.1,5.3,14.4,8.2,12.9,12.2,12.6,13.5,11.5,9.5,11.6,28.4,29.3,19.3,11.4,4.5,62.5,36.8,13.2,12.7,0.53,0.15,0.266,0.027,0.002,0.024
