Year,quarter,Geography,Enrollment Description,Race,Sex,Entitlement Status,Age,Rural/Urban Status,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth
2020,1,Alabama,All,All,All,All,All,All,393549.0,508208.0,21796.0,0.0554
2020,1,Alaska,All,All,All,All,All,All,54569.0,88339.333333,4139.0,0.0758
2020,1,Arizona,All,All,All,All,All,All,508632.0,678892.0,31362.0,0.0617
2020,1,Arkansas,All,All,All,All,All,All,308190.0,409201.0,14549.0,0.0472
2020,1,California,All,All,All,All,All,All,2119057.0,2918656.3333,193877.0,0.0915
2020,1,Colorado,All,All,All,All,All,All,308676.0,442961.33333,25761.0,0.0835
2020,1,Connecticut,All,All,All,All,All,All,248675.0,316595.33333,21566.0,0.0867
2020,1,Delaware,All,All,All,All,All,All,126409.0,158352.66667,10050.0,0.0795
2020,1,District Of Columbia,All,All,All,All,All,All,42359.0,58159.333333,2899.0,0.0684
2020,1,Florida,All,All,All,All,All,All,1702206.0,2120450.6667,94393.0,0.0555
2020,1,Georgia,All,All,All,All,All,All,679370.0,883972.33333,31401.0,0.0462
2020,1,Hawaii,All,All,All,All,All,All,78080.0,108878.33333,4085.0,0.0523
2020,1,Idaho,All,All,All,All,All,All,131428.0,193811.0,5863.0,0.0446
2020,1,Illinois,All,All,All,All,All,All,1008907.0,1381844.3333,66720.0,0.0661
2020,1,Indiana,All,All,All,All,All,All,546540.0,733458.66667,25330.0,0.0463
2020,1,Iowa,All,All,All,All,All,All,307276.0,431868.0,13332.0,0.0434
2020,1,Kansas,All,All,All,All,All,All,284569.0,383753.33333,11393.0,0.04
2020,1,Kentucky,All,All,All,All,All,All,394957.0,521941.0,22482.0,0.0569
2020,1,Louisiana,All,All,All,All,All,All,349854.0,453178.0,24133.0,0.069
2020,1,Maine,All,All,All,All,All,All,126595.0,183601.33333,9229.0,0.0729
2020,1,Maryland,All,All,All,All,All,All,592958.0,772851.33333,44146.0,0.0745
2020,1,Massachusetts,All,All,All,All,All,All,654249.0,851664.66667,89248.0,0.1364
2020,1,Michigan,All,All,All,All,All,All,703479.0,968128.33333,57354.0,0.0815
2020,1,Minnesota,All,All,All,All,All,All,313539.0,460914.66667,28165.0,0.0898
2020,1,Mississippi,All,All,All,All,All,All,336537.0,429736.0,22001.0,0.0654
2020,1,Missouri,All,All,All,All,All,All,476611.0,655590.0,22368.0,0.0469
2020,1,Montana,All,All,All,All,All,All,111620.0,169378.66667,5302.0,0.0475
2020,1,Nebraska,All,All,All,All,All,All,180789.0,252909.33333,6364.0,0.0352
2020,1,Nevada,All,All,All,All,All,All,192477.0,271054.33333,13401.0,0.0696
2020,1,New Hampshire,All,All,All,All,All,All,145765.0,206612.0,13483.0,0.0925
2020,1,New Jersey,All,All,All,All,All,All,737395.0,938484.0,66961.0,0.0908
2020,1,New Mexico,All,All,All,All,All,All,158075.0,226247.66667,10287.0,0.0651
2020,1,New York,All,All,All,All,All,All,1326481.0,1724171.6667,130056.0,0.098
2020,1,North Carolina,All,All,All,All,All,All,846324.0,1086597.3333,46543.0,0.055
2020,1,North Dakota,All,All,All,All,All,All,65258.0,95967.666667,2772.0,0.0425
2020,1,Ohio,All,All,All,All,All,All,825468.0,1108072.6667,58565.0,0.0709
2020,1,Oklahoma,All,All,All,All,All,All,378948.0,497020.0,18372.0,0.0485
2020,1,Oregon,All,All,All,All,All,All,265365.0,394823.33333,19204.0,0.0724
2020,1,Pennsylvania,All,All,All,All,All,All,991356.0,1306624.3333,72519.0,0.0732
2020,1,Rhode Island,All,All,All,All,All,All,71760.0,93526.666667,8689.0,0.1211
2020,1,South Carolina,All,All,All,All,All,All,530612.0,670788.0,21193.0,0.0399
2020,1,South Dakota,All,All,All,All,All,All,82680.0,123277.33333,3364.0,0.0407
2020,1,Tennessee,All,All,All,All,All,All,538379.0,699788.0,19885.0,0.0369
2020,1,Texas,All,All,All,All,All,All,1554488.0,2077253.3333,124154.0,0.0799
2020,1,Utah,All,All,All,All,All,All,149911.0,209312.0,7858.0,0.0524
2020,1,Vermont,All,All,All,All,All,All,81159.0,116030.33333,8339.0,0.1027
2020,1,Virginia,All,All,All,All,All,All,770731.0,1004268.3333,42490.0,0.0551
2020,1,Washington,All,All,All,All,All,All,508997.0,756953.0,31906.0,0.0627
2020,1,West Virginia,All,All,All,All,All,All,182199.0,246999.33333,10011.0,0.0549
2020,1,Wisconsin,All,All,All,All,All,All,382009.0,565673.0,20158.0,0.0528
